60907_209	science fiction	Jones, Bascom	I looked directly at the Master Machine technician. "I asked Spicer to get a late report on the incident for us. But you know that Chambers is right--we cannot afford to wait any longer. Perhaps he'll catch up." We followed the corridor toward the hub of the Pentagon. Senator Chambers led the way, almost at a trot, as though he were afraid that Spicer would catch up. General Marshall and Meyers, hard put to keep up, were strung out behind him, with Meta and me bringing up the rear. That was the way we went through the check points manned by the security guards. Twice I caught Meta looking at me. At one of the check points, I thought she was going to say something. I lifted the tip of my cane and put my finger near the stud, but she remained silent. * * * * * The tension began to mount inside me as we approached the door opening on the invisible force wall. Through the wall, I could see the squat, ugly building in the center of the hub of the Pentagon, which was our destination. I held my cane ready. But even a CT-bomb wouldn't break through the force field. As we drew near the final guard point, a scrubwoman who had been working on the floor of the corridor picked up her bucket and fell in with our party. Chambers was already gesturing at the guard to set the combination, which would open the force wall at precisely 1330. I looked at the time unit on my wrist and saw that we had twenty seconds to wait. I resisted the betraying impulse to rub the irritated area around the electrodes set in my neck. When I looked up from the time unit, everything was too quiet. Senator Chambers was no longer dancing around impatiently. He was staring at the bucket carried by the scrubwoman. The inside of the bucket was not even damp. And the mop she had been using was dry. The implication must have hit both Chambers and me at the same moment. I wanted to shout a warning. Chambers jumped back against the wall, yelling at the guard, "Shoot her! Shoot! She is an alien!" The scrubwoman did the wrong thing. She turned and tried to run, her legs lifting awkwardly against the pull of the unaccustomed gravity. But the guard's weapon was already at his shoulder. The low-velocity missile thudded into the body of the scrubwoman, flipping her up into the air in a graceless somersault.
42441_631	western stories	Mulford, Clarence Edward	He helped his companion down, stripped off the saddle and turned the animal loose with a resounding slap. "Huh!" he grunted as it kicked up its heels. "You oughta feel frisky, after loafin’ for two weeks an’ walkin’ for another. Come on, Lanky," he said, turning. "There ain’t nobody home, so we ’ll get a fire goin’ an’ rustle chuck for all han’s." They entered the dugout and looked around, Lanky sitting down to rest. His companion glanced at the mussed bunks and started a fire to get dinner for six. "Mebby they don’t ride in at noon," suggested the convalescent. "Then we ’ll eat it all," grinned the cook. "It’s comin’ to us by this time." The Weasel, riding toward the rear wall of the dugout, increased the pace when he saw the smoke pouring out of the chimney, but as he neared the hut he drew suddenly and listened, his expression of incredulity followed by one of amazement. A hearty laugh and some shouted words sent him spinning around and back to the chaparral. As soon as he dared he swung north to the creek and risked its quicksands to ride down its middle. Reaching the river he still kept to the water until he had crossed the ford and scrambled up the further bank to become lost in the windings of the canyon. Very soon after the Weasel’s departure Buck dismounted at the corral and stopped to listen. "Strangers," he muttered. "Glad they got th’ fire goin’, anyhow." Walking to the hut he entered and a yell met him at the instant recognition. "Hullo, Buck!" "Lanky!" he cried, leaping forward. "Easy!" cautioned the convalescent, evading the hand. "I ’ve been all shot up an’ I ain’t right yet." "That so! How ’d it happen?" "Shake han’s with Skinny Thompson, my fool nurse," laughed Lanky. "I ’m a fool, all right, helpin’ _him_," grinned Skinny, gripping the hand. "But when I picks him up down in th’ Li’l Wind River country I was a’ angel. Looked after him for two weeks down there, an’ put in another gettin’ up here. Served him right, too, for runnin’ away from me." "Little Wind River country!" exclaimed Buck.
56902_1953	detective and mystery stories	Reeve, Arthur B. (Arthur Benjamin)	Yet that dance almost stopped." It was interesting, perhaps important for the case, yet not precisely what I had started out to find. "What of Doctor Lathrop?" I asked. "What did he do?" "He wasn't in the room at the time. He was down in the café. Wilford tried to brazen it out and Vina acted properly surprised. She can be quite an actress, too, when she wants to be. No, Doctor Lathrop didn't pay any attention to it--that is, not so any one saw it. But Vance Shattuck did. I remember him particularly that evening. Of course I know many of the stories back in his life--and a good deal of what they say about him now. He had been one of the partners Honora had persistently refused, but they did sit out a dance together and I'm sure it was she that ended the tête-à-tête, not he. He seemed to have very little interest in any one else there, and I saw him taking in the whole affair. Once he started forward, as if to offer to escort her home, then checked himself. I think he seemed to be rather pleased than otherwise at the turn of events in that little affair." "Playing a deep game?" I suggested. Belle Balcom shrugged. "I don't know--perhaps. Really, I thought at the time that this was not a triangle, but the making of a fine quadrangle--that is," she laughed breezily, "if you include Vance Shattuck, I guess you would call it a pentangle." "At any rate, all grist for the society-news mill," I smiled. "Doctor Lathrop really knew of the incident, didn't he?--at least, learned of it afterward?" "I imagine so." "You know the talk about the Lathrops?" I hinted. "I think I do--and I knew it long before this case started people's tongues wagging, too." "I understand it wasn't Wilford, after all, that Vina was interested in--but Shattuck himself." "So they say. Society gets its geometry pretty mixed in some of these angles," she laughed. "But do you think there is anything in the story about them?" I asked. "You're a very persistent interviewer," she returned. "Perhaps--but like the honest Japanese schoolboy, 'I ask to know.' It isn't interviewing for publication, you know.
62768_1013	adventure stories	Roberts, Theodore Goodridge	asked Ben. “What did you all drop him for, just because he got mixed up with a bad crowd? That was no way to treat a friend.” “John kept after him eight or nine years. Once a year, year after year, yer father made the trip to French River and tried to get him to break with the Balengers and offered him land and a house down to the point.” “But what did you do? You didn’t do anything, Uncle Jim.” “I was leery about visiting French River, in those days. I’d seen just enough of that outfit to guess how easy it would be to get mixed up with them. And Sherwood wasn’t encouraging. All he’d do would be to cuss John out for a prig and a busybody. And it’s a long way between his clearing and O’Dell’s Point.” “Well, he’s hiding for his life now like a wounded snipe; and I guess he wouldn’t be if you hadn’t been so scared about your own respectability, Uncle Jim.” McAllister scratched his chin at that but said nothing. They reached the mouth of French River before sundown and made camp there for the night. They were early astir next morning, breakfasted before the mist was off the water and then launched into the black deep tide of the tributary stream. The fall of the banks was sheer down to and beneath the water’s edge. Poling was out of the question, so the paddles were used. Ben occupied the stern of the canoe, being a few pounds heavier than his uncle and a glutton for work. Wood duck and whistlers flew up and off before their approach. A mink swam across their bows. They passed old cuttings where the stumps of giant pines were hidden by a second growth of tall young spruces and firs. They paddled for two hours before they marked any sign of present human habitation. They saw a film of smoke then, frail blue against the dark green of the forest. Ben swung into the left bank, which was considerably lower and less abrupt here than farther down, and edged the canoe against a narrow strip of muddy shore. Here was a path, deep-worn and narrow, leading up through the tangled brush; and in the shallow water lay a few rusty tins. They ascended the path up and over the bank and through a screen of underbrush and water birches into a little clearing. At the back of the clearing stood a small log cabin with an open door and a chimney of sticks and clay.
21834_225	love stories	Milne, James	My thoughts have a habit of wandering, of dreaming dreams, often when they should be otherwise occupied, and isn't there a bunch of manuscript verse somewhere in testimony of the same? Knowing this the lieutenant lighted and smoked a pipe of American tobacco, then a novelty and a luxury in the Scottish Highlands. With a wink of the eye he asked, "Who was she, captain? Wench or maid?" And he pronounced the words in different tones, as if I needed to be instructed about the difference he implied by them. A man says nothing to an arch-pleasantry like that, unless he be no man and only a babbler and boaster of his conquests. Then he has had none, and is a liar. No sort of fellow more fills men with contempt, and women, by their woman's instinct, pass him by, for any confidence whatever, in word or in deed. "Don't let it be one of the Black Colonel's flames," said the lieutenant with a laugh, as he went out again, without the answer he had not expected, being himself a gentleman. "It needs a long spoon to sup with that dark devil at any time, but come between him and his rustic gallantries and you'll need a longer spoon than Corgarff Castle happens to possess." The Black Colonel and I, as you will have gathered, were on different sides in politics, though we belonged to neighbouring clans which had many associations; he a Farquharson, I a Gordon. He was Jock Farquharson of Inverey, the last of his house, as I can say looking back on him, and doomed, so a woman of second-sight had declared, when he was born, to be the last; while I, Ian Gordon, was a cadet of the Balmoral Gordons, captain in his Majesty's Highland Foot, with no more to expect than what my commission brought me, and that was little enough. He was a Jacobite, keeping that rebel flame alive in the Aberdeenshire Highlands, when, on the heels of the "Forty-Five," a red and woeful time, we were half-heartedly scotching it with garrisons in the Castles of Braemar and Corgarff. Yes, I wore the scarlet tunic of King George, thanks to family circumstances which had woven themselves before I was born, but the tartan lay under it, next my heart. We were rivals in war, thrown on different sides by the fates which gamble so strangely with mere men. Was there to be a still more vital rivalry?
28448_1975	detective and mystery stories	Penrose, Margaret	They are in touch with the church and with him on an occasion like this, when by no other means could they be made to interest themselves in our church save to look at the clock face in the tower as they go past." "Guess he's right there," said Burd. "I reckon there are some men on the boulevard whose only religious act is to set their watches by the church clock as they ride by to town in their automobiles." However and whatever (to quote Amy again), the intentions were that brought the crowd, the Norwood place was comfortably filled. The goodies were bought, the sale of fancy goods added much to the treasury, and a bigger thing than any other source of income was the admission to the radio shows. The children were not the most interested part of the audience in the tent. From two o'clock until closing time Jessie Norwood presided at eight shows. She sometimes faced almost the same audience twice. Not only did some of the children pay their way in more than once, but grown people did the same. Curiosity regarding radio science was rife. Doctor Stanley came more than once himself to listen. And the minister's boys wanted to take the radio set all apart between shows to "see how it went." "I bet we could build one our own selves," declared Bob Stanley. "I betcha!" agreed Fred. "Only, it will cost a lot of money," groaned the minister's oldest son. "You can do it for about ten dollars--if you are ingenious," said Jessie encouragingly. "Gee whiz! That's a lot of money," said Fred. The girl knew better than to suggest lending them or giving them the money. But she told them all the helpful things she could about setting up the radio paraphernalia and rigging the wires. "I guess Nell would help us," Bob remarked. "She's pretty good, you know, for a girl." "I like that!" exclaimed Jessie. Bob Stanley grinned at her impishly. In the evening when the electric lights were ablaze the Norwood lawns were a pretty sight indeed. People came in cars from miles away. It was surprising how many came, it seemed, for the purpose of listening to the radio. That feature had been well advertised, and it came at a time when the popular curiosity was afire through reading so much about radio in the newspapers.
40464_1745	detective and mystery stories	Machray, Robert	" "This gentleman?" asked the policeman, pointing to Gilbert. "Yes." "And these are the private apartments of your partner, Mr. Cooper Silwood?" "Yes." "And the dead body of Mr. Thornton, your friend, is found in the private apartments of your partner, Mr. Silwood?" "Yes." "And Mr. Silwood is dead?" "Yes." "Most extraordinary thing I ever heard of!" exclaimed the policeman. "There's something very strange here." "My father, as you can see for yourself," interposed Gilbert, "is ill; he is in no fit state to stay here a moment longer than is necessary. But if I can help you, I shall be glad to do so." "Mr. Eversleigh ought to go home at once," said the doctor. "That is all right," said the policeman. "Do you report to Inspector Gale?" asked Gilbert of the policeman; "I know him very well." "Yes; I shall report to him. And in the mean time these chambers must be closed up and sealed. The inspector will no doubt come and examine everything in them. This is the usual procedure. And of course there will be a coroner's inquest. Nothing more can be done at present, I think. Please sir, do not touch the body," he added, speaking to the doctor, who was scrutinizing it carefully. "If I went to Scotland Yard, should I find the inspector in?" asked Gilbert. "You'll find him there at 2.30." "And there is nothing more that can be done just now?" "Nothing." Leaving Silwood's chambers in the charge of the policeman, who had now been reinforced by the arrival of two other constables, the two Eversleighs, the doctor, the locksmith, and the porter filed out of the chamber of mystery and death. As they entered the court of Stone Buildings, they saw that little knots of people had collected, who were discussing something that evidently was unusually interesting. The fact was that the porter, on his way for the doctor and the policeman, had let fall hints of what had been found. The Eversleighs were asked by some gentlemen of the long robe, whom they knew, what was the truth of the matter, and they put before them the bare facts. But the porter and the locksmith were not so reticent.
31426_1000	detective and mystery stories	Newcomb, Ambrose	"Partner, would you mind tellin' me what about this here Oswald Kearns?" CHAPTER XVII OKEECHOBEE THE MYSTERIOUS "Say that again, Perk!" demanded the startled pilot, as though that apparently innocent question had given him a severe jolt. "Oswald Kearns--kinder queer name, I kinder guess now, an' I'm wonderin' if I ever heard it before--that's all, Jack." The pilot was busy with his work in handling the ship and therefore debarred from turning his head to look at his companion but at least he could put the astonishment he felt into words. "So--you think that's a queer name, do you? Well, I'm asking you again, where did you ever run across it--who ever spoke it in your hearing, Perk?" "Why--er, guess it was on'y _you_, partner," came the hesitating reply. "You don't say?" gasped Jack, tremendously excited, "please tell me when that happened because I don't remember doing such a thing, though I meant to carry out our partnership arrangement this very night when we had settled down and could have a nice quiet confab--go on, though, and say when I lifted the lid, and let you into this part of our big game, Perk." "Huh! you talked in your sleep some, old hoss--first time ever I knew you to do sech a thing--said that name exactly three times, like it meant a heap in the bargain." "You mean _tonight_ while I was picking up a few winks of sleep--is that a fact, Perk?" "Sure thing, boss--course I knew somethin' must be pesterin' you like all get-out, so I made up my mind to ask you who that Oswald might be an' what we'd got to do with such a critter." Then Jack laughed as the humorous side of his recent thrill had begun to grip him. "Well, well, seems like I'll soon have to put a padlock on my lips after this when I hit the hay. It's a serious offence for a fellow in _our_ profession to give away his secrets like that! Never knew myself to be guilty of babbling that way before. Lucky you were the only one to hear me give the game away so recklessly. The joke is on me, partner.
34905_5599	adventure stories	Jones, P.	" He at once stepped lightly on the grass, put down the cook, took up the other sack, which was much lighter than his own, and scampered back home as fast as his weary legs could carry him. An hour afterwards the sleeping man awoke, took up his sack, which he was surprised to find so much heavier than it had been when he had gone off to sleep, and then went on his way. That evening the priest came back to his nephew's house, looking uglier and more ghastly, if possible, than the evening before. Panting and gasping, with a weak and broken voice: "She's back again," he said in a hoarse whisper. The smith burst out laughing. "It's no laughing matter," quoth the priest, with a long face. "No, indeed, it isn't," replied the nephew; "only, tell me how she came back." "A pedlar, an honest man whom I sometimes help by lending him a trifle on his goods--merely out of charity--brought me a sack of shoes, begging me to keep it for him till he found a stall for to-morrow's fair. I told him to put the sack in the kitchen, and he did so. When he had gone, I thought I'd just see what kind of shoes he had for sale, and whether he had a pair that fitted me. I opened the sack, and I almost fainted when I saw the frightful face of the cook staring at me." "And now," asked the smith, "am I to carry her away again, for you know, uncle, she is rather heavy; and besides----" "No," replied the priest; "I'll go away myself for a few days; during that time drown her, burn or bury her; in fact, do what you like with her, as long as you get rid of her. Perhaps, knowing I'm not at home, she'll not come back. In the meanwhile, as you are my only relation, come and live in my house and take care of my things as if they were your own; and they'll be yours soon enough, for this affair has made an old man of me." The priest went home, followed by his nephew. Arriving there, he went to the stable, saddled the mare, got on her, gave his nephew his blessing, bade him take care of his house, and trotted off.
14532_2051	love stories	Ford, Paul Leicester	" "Nothing. But I intend to see Moriarty have fair play. You want to fight on the square too. You're not a man to hit a fellow in the dark." Peter was not flattering the man. He had measured him and was telling him the result of that measure. He told it, too, in a way that made the other man realize the opinion behind the words. "Come on," said Blunkers, good-naturedly. They went over to the court, and a whispered colloquy took place between the justice and the bartender. "That's all right, Mr. Stirling," presently said the judge. "Clerk, strike Dennis Moriarty's fine off the list." "Thank you," said Peter to the saloon-keeper. "If I can ever do a turn for you, let me know it." "Dat's hunky," said the man, and they parted. Peter went out and walked into the region of the National Milk Company, but this time he went to the brewery. He found Mr. Bohlmann, and told him the story, asking his advice at the end. "Dondt you vool von minute mit dod Edelheim. I dells you vot I do. I harf choost a blace vacant down in Zender Streed, and your frient he shall it haf." So they chatted till all the details had been arranged. Dennis was to go in as caretaker, bound to use only Bohlmann's beer, with a percentage on that, and the profits on all else. He was to pay the rent, receiving a sub-lease from Bohlmann, who was only a lesee himself, and to give a chattel mortgage on the stock supplied him. Finally he was to have the right of redemption of stock, lease, and good-will at any time within five years, on making certain payments. "You draw up der babers, Misder Stirling, and send der bill to me. Ve vill give der yoonger a chance," the brewer said. When Dennis called the next day, he was "spacheless" at the new developments. He wrung Peter's hand. "Arrah, what can Oi say to yez?" he exclaimed finally. Then having found something, he quickly continued: "Now, Patsy Blunkers, lookout for yezself. It's the divil Oi'll give yez in the primary this year." He begged Peter to come down the opening night, and help to "celebrate the event.
