P	The American woman in the Chinese hat / None	Maso, Carole.
Q	Genetic engineering : Christian values and Catholic teaching /	Flaman, Paul.
Z	A catalogue of books in the library of the College of New Jersey, January 29, 1760. None	Pitkin, Walter B.
U	Report of Committee on quartermaster and commissary departments on case of Major Frank G. Ruffin. None	Vergara, Miguel Angel.
G	World on a glass plate : early anthropological photographs from the Pitt Rivers Museum /	Yi, Sŏng-gŭn,
T	Nutrition for serious athletes / None	Benardot, Dan,
A	A Bell ringing in the empty sky : the best of the Sun /	Baynham, Simon,
P	Lady fingers, a comedy in one act,	Hughes, Glenn,
E	Debating slavery : economy and society in the antebellum American South /	Smith, Mark M.
D	Leopoldville : remembrance for valor /	Andrade, Allan,
G	Lithic use-wear analysis / None	Wordsworth, Dorothy,
R	The psychosocial background of affective disorders / None	Frost, Mary,
S	Rebuilding after the tsunami : how to get it right.	Datta, P. S.,
Q	Molecules : a very short introduction /	Ball, Philip,
Q	Categorical combinators, sequential algorithms, and functional programming / None	Curien, P.-L.
Q	Studies in fossil botany. None	Scott, Dukinfield Henry,
S	Amphibians today : a complete and up-to-date guide /	Coborn, John.
C	The six main aes coinages of Augustus; controversial studies.	Grant, Michael,
U	The Korean conundrum : America's troubled relations with North and South Korea /	Carpenter, Ted Galen.
L	Response to intervention : an action guide for school leaders /	Ehren, Barbara J.
F	The amazing voyage of the New Orleans / None	St. George, Judith,
M	The 99 most eminent names of Allah / None	Hussien Alattas,
G	U.S. environmental policy : a practical approach to understanding implementation /	Rinfret, Sara R.
M	Overview, Jan. 4, 1983 to Jan. 3, 1987 : accomplishments, concerns, plans /	Nelson, Gloria B.
J	Devolution in Sri Lanka : S.W.R.D. Bandaranaike and the debate on power sharing /	Bandaranaike, S. W. R. D.
T	Fabric art, heritage of India / None	Das, Sukla
Z	A list of periodicals bound complete with advertising pages in New England and New York city libraries. None	Geck, Francis J.,
F	San Francisco : 1906 earthquake and fire photographs from the Keystone-Mast stereograph collection /	Cary, Eve.
V	Canadian high seas message service. None	Ivens, Joris,
V	Boatbuilding Down East : how to build the Maine lobsterboat /	Lowell, Royal,
T	Mopedaller's handy manual / None	Stone, Mike,
