SENTENCE	SLANG_TERM
Are we gon na go to jail ?	gonna
You know , because once you go to L.A. , you 're gon na have friends like crazy .	like crazy
I 'm kicking you out ... so other people may eat .	kicking you out
# I 'm gon na punch that bitch right in the fuckir back #	bitch
I had the pleasure of scraping dog poo off Charlies football boots a toothbrush that I hope I 've thrown away .	poo
I 'll probably close the place down .	close the place down
- in a man 's life , everybody knows that !	man's life
Okay , then tell me the other half .	half
Well , can I come in ?	come in
Well , I want you drunk , so I can tell whether you are a lout or not .	lout
Is your family still around ?	none
My dad said if he ever caught someone going in there , they 'd be dead meat .	dead meat
It was no fun having doors slammed in my face , getting the evil eye on the street , being spat upon , punched in the face , and told I am a horrible person for deserting my pregnant wife .	evil eye
- Two weeks is a long time .	yeah
You 've had a few , have n't you , Mr Hunter ?	few
[ hoarse ] There 's a few quids ' worth of kit here .	quids
No , but they said they were gon na give me a little more time .	grand
If they can make alcohol strong enough to get you that wasted , they sure as shit should have aspirin strong enough to get you un-wasted .	sure as shit
You 're responsible for the shit they give me .	shit
I 've dreamt of walking in the footsteps of the great Svengalis of rock and roll .	svengalis
Those boss shirts that I 've been borrowing from Scott do n't even make Scott look like a millionaire , dude .	dude
And you , you have n't even broken a sweat yet .	broken a sweat
Pooch got the hi-roller suite .	pooch
Seeing as he did n't own a car .	bloody
But we got chance with the other Guvnors here .	guvnors
You were always good at that .	"t
around"
Nothing obvious , like a school uniform or anything crap .	crap
Because I 'm knackered , that 's why .	knackered
Wan na give me a fucking laugh ?	wanna
I ca n't quite pinpoint the exact moment when everything went south .	went south
Well , he crashed a party on some bad guys moving ' a half ton of coke .	movin'
Do n't be sad , you whiny bitches .	bitches
Nose pressed up against the glass .	pressed
John Dawson is king and do n't you forget it !	king
When it breaks my heart	breaks my heart
Some crazy dude handcuffed us while we were praying .	dude
He was a sugar daddy , for want of a better term .	sugar daddy
There is nothing I would love more than grandma 's delicious tongue on rye .	tongue on rye
These are all the lady tears that have been shed for you in your life .	lady tears
The past three years in a row ,	past
I gave her the memory of the child .	war
`` I have to move them out of the way of the kids . ''	kids
I asked ' cause I just met you and I did n't want to chaperon you old folks .	old folks
Unfortunately , there is no improvement .	deep water
He wants nothing to do with me .	do
Am I going to go too ?	spoil
Not as much as I do there , schlumpy shoulders .	schlumpy
He ​ ​ has some sick ideas about girls .	sick
If I stick around , you 're gon na try and get out of it .	gonna
I do n't wan na tell it .	wanna
The whole block gets shot up , y'all just sit there , do n't do nothing about it ?	shot up
Tough decisions are gon na have to be made by a wise administrator , someone who combines a listening disposition with attention to detail and compassion for her fellow man .	gonna
All right , do n't get cocky .	cocky
Your notes were awesome , Bernard .	notes
Well , what would you do if you were me ?	dump
Well , you know , I think you can thank your big brother .	guilotine
I 'm a shithead , believe me .	shithead
- Who the hell is this guy ?	hell
Robby , I got to call you later .	sell
It was just a hoof down the channel , and Coley just dinked it over .	hoof
She knows something is n't right .	resilient
I guess now 's as good a time as any for me to make my best man 's toast .	bear
- Feds is lookin ' for him , you get me ?	feds
People are shit bad at keeping promises .	shit bad
I want you all to meet an old chum of mine .	chum
- Whittier , quit worrying and enjoy the sunshine :	enjoy the sunshine
Scramble-egged his leg in a bike accident .	scramble
Count the headlights on the highway	headlights
But please do not to take this out on Lucas , okay ?	okay
We got ta clean this up .	gotta
- I hope you flip your bike over and knock your two front teeth out , you selfish son of a bitch !	son of a bitch
- Yeah , you got an upgrade ?	upgrade
You 're down the fucking gym .	you’re down
Nah , he still sees ' em .	nah
Mesdames et messieurs , I give you the delicious bon bon of the French Riviera , Dominique du Monaco !	bon bon
I 'm warning you though , you 're about to think that I 'm really cool .	cool
Well , gents , the emcee is profoundly privileged to be here and is exceedingly happy to see you all looking so dapper .	gents
I want him dead today .	him dead
Let 's go , or you 're gon na get arrested , come on .	gonna
Away above the chimney tops	melt
You spend half your life in that subway scoring and shooting up , or whatever it is you do down there .	scoring
Well , yeah , you 're right and I know that sometimes I talk too much .	yeah
But I am far gone in age and decrepitude .	far gone
It 's bloody hard work , that 's what it is .	bloody
What makes you even think you 're the daddy ?	daddy
Someone 's got a big mouth .	big mouth
Because , I mean , best-case scenario , your career as a journalist is gon na be over because this is all anyone 's ever gon na remember you for .	gonna
I saw the man , the wee man himself , Napoleon ?	wee
What they did n't tell anybody was that was a lie .	lie
I 'm sick of your cheating on me , Jody !	sick
I do n't like that , gives me the creeps .	creeps
I do n't know , I guess I 'm missing something .	really
We just came for the free booze .	booze
So , what 's it gon na be ?	gonna
You smoke this shit and ...	shit
I could n't hold out any longer .	hold out
We stick to the plan .	stick
Yo kicks got smiles humped all up my face .	deluxe
I think that 's his kid Leonard .	kid
Aye , Mr. Hare , yeah , that 's exactly what happened .	aye
Just gon na go in around the back .	gonna
Getting stiletto shoes and proper clawing him with ' em .	'em
It 's starting to freak me out .	freak me out
Resortir to meth and shit !	resortir
Do you know the leverage effect ?	leverage effect
She 's working on a little indie film .	indie
You have been in the wars , have n't you ?	been in the wars
That means these guys have to know that they ca n't get a nickle out of you until we first know that she 's okay .	get a nickle out of you
Sneaking around Kim and her mama like I 'm a child .	mama
Pete did n't even let me get through my pitch .	pitch
Stand up for the people of America	stand up
His chute was damaged by enemy fire , and he lost control and landed on the roof of a house in the middle of the country .	chute
She always was a ballbuster .	ballbuster
I ca n't tell one from another	you find me
While you look like a bible salesman .	salesman
I did think he was gon na toss youngblood over though .	youngblood
Yeah , but not as nice as forking .	forking
I mean , she says they 're OK .	ok
The thing about sat nav is , you do n't where you 're ... you have no sense of geography .	sat nav
- Hey , you got a second , Top ?	you got a second
# With punchlines , funny how I fuck dimes #	dimes
I ai n't into all that stupidness .	ain't
- Deep down , you 're a big sweetheart .	sweetheart
Oh , and that 's why you fall .	twisted
